Connected 0.0%, nodes: 100, density: 50, acv: 30.0%, degree: 11.5504
Connected 0.0%, nodes: 100, density: 95, acv: 50.0%, degree: 32.9848
Connected 0.0%, nodes: 100, density: 96, acv: 50.0%, degree: 33.1624
Connected 0.0%, nodes: 100, density: 97, acv: 50.0%, degree: 33.3696
Connected 0.0%, nodes: 100, density: 98, acv: 50.0%, degree: 33.532
Connected 0.0%, nodes: 100, density: 99, acv: 50.0%, degree: 33.7672
Connected 0.0%, nodes: 100, density: 50, acv: 60.0%, degree: 25.6816
Connected 0.0%, nodes: 100, density: 51, acv: 60.0%, degree: 26.0432
Connected 8.0%, nodes: 100, density: 74, acv: 60.0%, degree: 33.5184
Connected 8.0%, nodes: 100, density: 75, acv: 60.0%, degree: 33.8632
Connected 8.0%, nodes: 100, density: 86, acv: 60.0%, degree: 36.7984
Connected 8.0%, nodes: 100, density: 87, acv: 60.0%, degree: 37.0424
Connected 8.0%, nodes: 100, density: 92, acv: 60.0%, degree: 38.408
Connected 8.0%, nodes: 100, density: 93, acv: 60.0%, degree: 38.696
Connected 8.0%, nodes: 100, density: 95, acv: 60.0%, degree: 39.1408
Connected 8.0%, nodes: 100, density: 96, acv: 60.0%, degree: 39.3936
Connected 8.0%, nodes: 100, density: 97, acv: 60.0%, degree: 39.6456
Connected 8.0%, nodes: 100, density: 98, acv: 60.0%, degree: 39.8368
Connected 8.0%, nodes: 100, density: 99, acv: 60.0%, degree: 40.0952
Connected 8.0%, nodes: 100, density: 50, acv: 70.0%, degree: 27.8056
Connected 8.0%, nodes: 100, density: 51, acv: 70.0%, degree: 28.2192
Connected 8.0%, nodes: 100, density: 74, acv: 70.0%, degree: 36.9824
Connected 8.0%, nodes: 100, density: 75, acv: 70.0%, degree: 37.3872
Connected 8.0%, nodes: 100, density: 86, acv: 70.0%, degree: 40.8296
Connected 8.0%, nodes: 100, density: 87, acv: 70.0%, degree: 41.1264
Connected 8.0%, nodes: 100, density: 92, acv: 70.0%, degree: 42.8016
Connected 8.0%, nodes: 100, density: 93, acv: 70.0%, degree: 43.1312
Connected 8.0%, nodes: 100, density: 95, acv: 70.0%, degree: 43.6704
Connected 8.0%, nodes: 100, density: 96, acv: 70.0%, degree: 43.9624
Connected 8.0%, nodes: 100, density: 97, acv: 70.0%, degree: 44.276
Connected 8.0%, nodes: 100, density: 98, acv: 70.0%, degree: 44.5216
Connected 8.0%, nodes: 100, density: 99, acv: 70.0%, degree: 44.84
Connected 32.0%, nodes: 100, density: 50, acv: 80.0%, degree: 30.4144
Connected 32.0%, nodes: 100, density: 51, acv: 80.0%, degree: 30.872
Connected 36.0%, nodes: 100, density: 74, acv: 80.0%, degree: 40.4688
Connected 36.0%, nodes: 100, density: 75, acv: 80.0%, degree: 40.908
Connected 40.0%, nodes: 100, density: 86, acv: 80.0%, degree: 44.7448
Connected 40.0%, nodes: 100, density: 87, acv: 80.0%, degree: 45.0744
Connected 40.0%, nodes: 100, density: 92, acv: 80.0%, degree: 46.9088
Connected 40.0%, nodes: 100, density: 93, acv: 80.0%, degree: 47.272
Connected 40.0%, nodes: 100, density: 95, acv: 80.0%, degree: 47.8504
Connected 40.0%, nodes: 100, density: 96, acv: 80.0%, degree: 48.1776
Connected 44.0%, nodes: 100, density: 97, acv: 80.0%, degree: 48.5232
Connected 44.0%, nodes: 100, density: 98, acv: 80.0%, degree: 48.7888
Connected 44.0%, nodes: 100, density: 99, acv: 80.0%, degree: 49.1392
Connected 28.0%, nodes: 100, density: 50, acv: 90.0%, degree: 32.6464480258
Connected 28.0%, nodes: 100, density: 51, acv: 90.0%, degree: 33.1449644078
Connected 40.0%, nodes: 100, density: 74, acv: 90.0%, degree: 43.7377544959
Connected 40.0%, nodes: 100, density: 75, acv: 90.0%, degree: 44.2452692547
Connected 40.0%, nodes: 100, density: 86, acv: 90.0%, degree: 48.524650052
Connected 40.0%, nodes: 100, density: 87, acv: 90.0%, degree: 48.8901421197
Connected 40.0%, nodes: 100, density: 92, acv: 90.0%, degree: 50.9553811101
Connected 40.0%, nodes: 100, density: 93, acv: 90.0%, degree: 51.3749877364
Connected 40.0%, nodes: 100, density: 95, acv: 90.0%, degree: 52.0441944545
Connected 40.0%, nodes: 100, density: 96, acv: 90.0%, degree: 52.4121506536
Connected 40.0%, nodes: 100, density: 97, acv: 90.0%, degree: 52.8063516886
Connected 40.0%, nodes: 100, density: 98, acv: 90.0%, degree: 53.1168733223
Connected 40.0%, nodes: 100, density: 99, acv: 90.0%, degree: 53.530326001
Connected 100.0%, nodes: 100, density: 50, acv: 100.0%, degree: 34.712
Connected 100.0%, nodes: 100, density: 26, acv: 100.0%, degree: 20.056
Connected 100.0%, nodes: 100, density: 14, acv: 100.0%, degree: 11.62
Connected 40.0%, nodes: 100, density: 8, acv: 100.0%, degree: 6.952
Connected 60.0%, nodes: 100, density: 9, acv: 100.0%, degree: 7.636
Connected 80.0%, nodes: 100, density: 11, acv: 100.0%, degree: 9.236
Connected 80.0%, nodes: 100, density: 12, acv: 100.0%, degree: 10.028
Connected 100.0%, nodes: 100, density: 13, acv: 100.0%, degree: 10.816
